country,iso3,n_linkages,n_elements,n_element_types
Algeria,DZA,4,16,4
Angola,AGO,9,66,6
Benin,BEN,13,454,6
Botswana,BWA,3,15,3
Burkina Faso,BFA,15,564,6
Burundi,BDI,15,103,6
Cabo Verde,CPV,5,130,4
Cameroon,CMR,14,584,6
Central African Republic,CAF,9,222,5
Chad,TCD,7,145,5
Comoros,COM,4,34,4
Congo,COG,6,150,4
Dem. Rep. of the Congo,COD,9,59,5
Cote d'Ivoire,CIV,9,306,5
Djibouti,DJI,2,17,3
Egypt,EGY,6,55,4
Equatorial Guinea,GNQ,1,17,3
Eritrea,ERI,2,26,3
Eswatini,SWZ,5,77,4
Ethiopia,ETH,12,317,6
Gabon,GAB,2,18,3
Gambia,GMB,1,48,4
Ghana,GHA,1,27,4
Guinea,GIN,7,47,5
Guinea-Bissau,GNB,2,29,3
Kenya,KEN,9,325,6
Lesotho,LSO,3,71,3
Liberia,LBR,13,309,6
Madagascar,MDG,13,309,6
Malawi,MWI,4,94,4
Mali,MLI,6,88,5
Mauritania,MRT,10,142,5
Mauritius,MUS,4,70,3
Morocco,MAR,3,108,3
Mozambique,MOZ,6,112,4
Namibia,NAM,5,73,4
Niger,NER,3,65,4
Nigeria,NGA,4,36,4
Rwanda,RWA,6,81,4
Sao Tome and Principe,STP,7,39,5
Senegal,SEN,8,105,5
Seychelles,SYC,9,78,5
Sierra Leone,SLE,13,265,6
Somalia,SOM,5,65,4
South Africa,ZAF,15,284,6
South Sudan,SSD,6,368,5
Sudan,SDN,10,412,5
"Tanzania, United Republic of",TZA,8,62,5
Togo,TGO,11,129,6
Tunisia,TUN,6,256,4
Uganda,UGA,13,154,6
Zambia,ZMB,6,26,5
Zimbabwe,ZWE,5,34,5
